"","Mode","ORegionDAT","DRegionDAT","yw","sanitized_cost","prcp","tavg","tmax","tmin","approx_cost","diesel_price"
"1","R","CA_FRS","IL_CHI",2017 W01,1.56540082001864,0.308793103448276,49.4285714285714,56.8571428571429,42.7142857142857,1.56540082001864,2.586
"2","R","CA_FRS","IL_CHI",2017 W02,1.5744805359508,0.35734375,49.8571428571429,53.1428571428571,45.4285714285714,1.5744805359508,2.597
"3","R","CA_FRS","IL_CHI",2017 W03,1.54726662934962,0.238032786885246,47.7142857142857,54.8571428571429,40.7142857142857,1.54726662934962,2.585
"4","R","CA_FRS","IL_CHI",2017 W04,1.49016513358857,0.0780701754385965,44.7142857142857,55.8571428571429,34.4285714285714,1.49016513358857,2.569
"5","R","CA_FRS","IL_CHI",2017 W05,1.46279956708675,0.114576271186441,53.4285714285714,63.8571428571429,44.2857142857143,1.46279956708675,2.562
"6","R","CA_FRS","IL_CHI",2017 W06,1.45009329533344,0.175692307692308,57,61.8571428571429,51.7142857142857,1.45009329533344,2.558
"7","R","CA_FRS","IL_CHI",2017 W07,1.42031681681231,0.173214285714286,55,63.5714285714286,47.1428571428571,1.42031681681231,2.565
"8","R","CA_FRS","IL_CHI",2017 W08,1.52052067467133,0.127796610169492,50.1428571428571,59,40.8571428571429,1.52052067467133,2.572
"9","R","CA_FRS","IL_CHI",2017 W09,1.4028815143076,0.0311666666666667,51.5714285714286,62.8571428571429,39.2857142857143,1.4028815143076,2.577
"10","R","CA_FRS","IL_CHI",2017 W10,1.44190512675875,0.0494444444444444,55.2857142857143,69,43.5714285714286,1.44190512675875,2.579
"11","R","CA_FRS","IL_CHI",2017 W11,1.4657056851083,0,66.5714285714286,80.8571428571429,53.1428571428571,1.4657056851083,2.564
"12","R","CA_FRS","IL_CHI",2017 W12,1.4619920179992,0.116865671641791,58.1428571428571,66.4285714285714,50.5714285714286,1.4619920179992,2.539
"13","R","CA_FRS","IL_CHI",2017 W13,1.47395048017498,0.0095,59.1428571428571,71.2857142857143,47.4285714285714,1.47395048017498,2.532
"14","R","CA_FRS","IL_CHI",2017 W14,1.57694828428873,0.179838709677419,61.2857142857143,71.5714285714286,49.4285714285714,1.57694828428873,2.556
"15","R","CA_FRS","IL_CHI",2017 W15,1.6565709884483,0.0858928571428571,59.2857142857143,72,47.7142857142857,1.6565709884483,2.582
"16","R","CA_FRS","IL_CHI",2017 W16,1.68542753600213,0.0725423728813559,62.7142857142857,74.1428571428571,52.7142857142857,1.68542753600213,2.597
"17","R","CA_FRS","IL_CHI",2017 W17,1.65701256690788,0,63.7142857142857,76.2857142857143,51.7142857142857,1.65701256690788,2.595
"18","R","CA_FRS","IL_CHI",2017 W18,1.61738171018344,0.0130909090909091,72.5714285714286,84.4285714285714,59.1428571428571,1.61738171018344,2.583
"19","R","CA_FRS","IL_CHI",2017 W19,1.72279317996248,0,66.1428571428571,78.5714285714286,54.2857142857143,1.72279317996248,2.565
"20","R","CA_FRS","IL_CHI",2017 W20,1.73428816175746,0,68.8571428571429,83.7142857142857,56,1.73428816175746,2.544
"21","R","CA_FRS","IL_CHI",2017 W21,1.95023088467082,0,75.2857142857143,88.2857142857143,60.5714285714286,1.95023088467082,2.539
"22","R","CA_FRS","IL_CHI",2017 W22,1.95148912733891,0.00313725490196078,76.1428571428571,89.7142857142857,62.8571428571429,1.95148912733891,2.571
"23","R","CA_FRS","IL_CHI",2017 W23,2.15364146282011,0,73.8571428571429,86.8571428571429,59.2857142857143,2.15364146282011,2.564
"24","R","CA_FRS","IL_CHI",2017 W24,2.04996519392843,0,77.1428571428571,92.5714285714286,63.2857142857143,2.04996519392843,2.524
"25","R","CA_FRS","IL_CHI",2017 W25,1.95108596182089,0,92.2857142857143,106.714285714286,77,1.95108596182089,2.489
"26","R","CA_FRS","IL_CHI",2017 W26,1.9309689183304,0,81.2857142857143,96.7142857142857,65.1428571428571,1.9309689183304,2.465
"27","R","CA_FRS","IL_CHI",2017 W27,1.94445683551885,0,87.4285714285714,103.142857142857,72.2857142857143,1.94445683551885,2.472
"28","R","CA_FRS","IL_CHI",2017 W28,1.84335882430107,0,87.5714285714286,103.142857142857,72.1428571428571,1.84335882430107,2.481
"29","R","CA_FRS","IL_CHI",2017 W29,1.83445567857199,0,85.5714285714286,100.714285714286,69.7142857142857,1.83445567857199,2.491
"30","R","CA_FRS","IL_CHI",2017 W30,1.84084767572103,0,87,101.714285714286,71.7142857142857,1.84084767572103,2.507
"31","R","CA_FRS","IL_CHI",2017 W31,1.78191362643213,0,88.8571428571429,101.571428571429,76.4285714285714,1.78191362643213,2.531
"32","R","CA_FRS","IL_CHI",2017 W32,1.771574049772,0,83.7142857142857,99.8571428571429,68.1428571428571,1.771574049772,2.581
"33","R","CA_FRS","IL_CHI",2017 W33,NA,0,80.4285714285714,94.2857142857143,67.4285714285714,1.7474272035635,2.598
"34","R","CA_FRS","IL_CHI",2017 W34,1.723280357355,0,83.5714285714286,99.2857142857143,69.2857142857143,1.723280357355,2.596
"35","R","CA_FRS","IL_CHI",2017 W35,1.75299822712162,0,90.7142857142857,106.571428571429,76.1428571428571,1.75299822712162,2.605
"36","R","CA_FRS","IL_CHI",2017 W36,1.7483999007448,0,83.1428571428571,95.8571428571429,71,1.7483999007448,2.758
"37","R","CA_FRS","IL_CHI",2017 W37,NA,0.0238461538461538,76.8571428571429,89.2857142857143,65.1428571428571,1.7611500193623,2.802
"38","R","CA_FRS","IL_CHI",2017 W38,1.77390013797981,0.0276923076923077,67.4285714285714,78.7142857142857,55.2857142857143,1.77390013797981,2.791
"39","R","CA_FRS","IL_CHI",2017 W39,1.77331146666714,0,73.2857142857143,87.8571428571429,59,1.77331146666714,2.788
"40","R","CA_FRS","IL_CHI",2017 W40,1.84511630096206,0.00102040816326531,66,80.2857142857143,51.2857142857143,1.84511630096206,2.792
"41","R","CA_FRS","IL_CHI",2017 W41,1.79318107286117,0,63.4285714285714,78.5714285714286,48.8571428571429,1.79318107286117,2.776
"42","R","CA_FRS","IL_CHI",2017 W42,1.73053760654093,0.0165384615384615,63.1428571428571,77,49.8571428571429,1.73053760654093,2.787
"43","R","CA_FRS","IL_CHI",2017 W43,1.71266184741764,0,68.7142857142857,86,54.8571428571429,1.71266184741764,2.797
"44","R","CA_FRS","IL_CHI",2017 W44,1.75533928060453,0.00557692307692308,60.2857142857143,67.5714285714286,51.2857142857143,1.75533928060453,2.819
"45","R","CA_FRS","IL_CHI",2017 W45,1.83067299413012,0,57.4285714285714,69.5714285714286,47,1.83067299413012,2.882
"46","R","CA_FRS","IL_CHI",2017 W46,2.01654178269767,0.0616666666666667,57.7142857142857,67.4285714285714,47.7142857142857,2.01654178269767,2.915
"47","R","CA_FRS","IL_CHI",2017 W47,1.89609045915672,0.000188679245283019,60,74,49.2857142857143,1.89609045915672,2.912
"48","R","CA_FRS","IL_CHI",2017 W48,1.89482321238047,0.0390740740740741,51.2857142857143,61.2857142857143,40.1428571428571,1.89482321238047,2.926
"49","R","CA_FRS","IL_CHI",2017 W49,1.96913641390126,0,45.8571428571429,61.7142857142857,33.5714285714286,1.96913641390126,2.922
"50","R","CA_FRS","IL_CHI",2017 W50,1.93405860000827,0,46.8571428571429,61,34.5714285714286,1.93405860000827,2.91
"51","R","CA_FRS","IL_CHI",2017 W51,2.09083238503643,0.00803921568627451,45.7142857142857,56.8571428571429,34.4285714285714,2.09083238503643,2.901
"52","R","CA_FRS","IL_CHI",2017 W52,2.11154006831367,0,48,61.8571428571429,37.4285714285714,2.11154006831367,2.903
"53","R","CA_FRS","IL_CHI",2018 W01,2.17363571510956,0.0296078431372549,54.4285714285714,65.1428571428571,45.7142857142857,2.17363571510956,2.973
"54","R","CA_FRS","IL_CHI",2018 W02,2.10440342297154,0.156034482758621,53.2857142857143,59.4285714285714,47.5714285714286,2.10440342297154,2.996
"55","R","CA_FRS","IL_CHI",2018 W03,1.94769197981127,0.0205357142857143,49.4285714285714,57.4285714285714,43.1428571428571,1.94769197981127,3.028
"56","R","CA_FRS","IL_CHI",2018 W04,1.81680959942722,0.0340384615384615,49.7142857142857,61.1428571428571,39,1.81680959942722,3.025
"57","R","CA_FRS","IL_CHI",2018 W05,1.6418524919691,0,55.7142857142857,69.8571428571429,44.4285714285714,1.6418524919691,3.07
"58","R","CA_FRS","IL_CHI",2018 W06,1.59040937882879,0,59,74.1428571428571,46.1428571428571,1.59040937882879,3.086
"59","R","CA_FRS","IL_CHI",2018 W07,1.6194903596957,0,52.5714285714286,66.1428571428571,40.1428571428571,1.6194903596957,3.063
"60","R","CA_FRS","IL_CHI",2018 W08,1.68021563898679,0.00372549019607843,45.7142857142857,57.2857142857143,34,1.68021563898679,3.027
"61","R","CA_FRS","IL_CHI",2018 W09,1.60789361639141,0.292,48.2857142857143,56.2857142857143,41.4285714285714,1.60789361639141,3.007
"62","R","CA_FRS","IL_CHI",2018 W10,NA,0.0026,57.2857142857143,70.7142857142857,46.4285714285714,1.61438377962431,2.992
"63","R","CA_FRS","IL_CHI",2018 W11,1.62087394285721,0.0953333333333333,55.5714285714286,64.8571428571429,45.7142857142857,1.62087394285721,2.976
"64","R","CA_FRS","IL_CHI",2018 W12,1.59692818700751,0.442372881355932,55.7142857142857,64.7142857142857,46.4285714285714,1.59692818700751,2.972
"65","R","CA_FRS","IL_CHI",2018 W13,1.75610700024327,0.00392156862745098,62.4285714285714,77.1428571428571,49.5714285714286,1.75610700024327,3.01
