Mode,ORegionDAT,DRegionDAT,yearweek,sanitized_cost
R,CA_FRS,IL_CHI,2018-44,2.0954562009824436
R,CA_FRS,IL_CHI,2018-45,2.2118829705973475
R,CA_FRS,IL_CHI,2018-46,2.0476053046611353
R,CA_FRS,IL_CHI,2018-47,2.00706238074745
R,CA_FRS,IL_CHI,2018-48,2.0557101873192383
R,CA_FRS,IL_CHI,2018-49,2.0134951732469473
R,CA_FRS,IL_CHI,2018-50,1.9428337087528722
R,CA_FRS,IL_CHI,2018-51,1.9452758716584557
R,CA_FRS,IL_CHI,2019-00,1.952672567832006
R,CA_FRS,IL_CHI,2019-01,1.893033006993909
R,CA_FRS,IL_CHI,2019-02,1.7390783109440293
R,CA_FRS,IL_CHI,2019-03,1.577269627511488
R,CA_FRS,IL_CHI,2019-04,1.642624544622712
R,CA_FRS,IL_CHI,2019-05,1.632539823475832
R,CA_FRS,IL_CHI,2019-05,1.6383398234758317
R,CA_FRS,IL_CHI,2019-06,1.5700250400738716
R,CA_FRS,IL_CHI,2019-07,1.4721767078174408
R,CA_FRS,IL_CHI,2019-08,1.46562271477696
R,CA_FRS,IL_CHI,2019-09,1.5014379141210887
R,CA_FRS,IL_CHI,2019-10,1.5022095960764748
R,CA_FRS,IL_CHI,2019-11,1.462345759053985
R,CA_FRS,IL_CHI,2019-12,1.6523680587801661
R,CA_FRS,IL_CHI,2019-13,1.6983702411872035
R,CA_FRS,IL_CHI,2019-14,1.7682704068878787
R,CA_FRS,IL_CHI,2019-15,1.891327180390748
R,CA_FRS,IL_CHI,2019-16,1.8665535031087916
R,CA_FRS,IL_CHI,2019-17,1.923214650549914
R,CA_FRS,IL_CHI,2019-18,1.888435523310247
R,CA_FRS,IL_CHI,2019-19,1.8887136658750674
R,CA_FRS,IL_CHI,2019-20,1.8773271027433018
R,CA_FRS,IL_CHI,2019-21,1.9070175099337823
R,CA_FRS,IL_CHI,2019-22,2.030244194356461
R,CA_FRS,IL_CHI,2019-23,2.0034570206431104
R,CA_FRS,IL_CHI,2019-24,2.040699757346349
R,CA_FRS,IL_CHI,2019-25,2.0480479376845695
R,CA_FRS,IL_CHI,2019-26,2.0534960248308636
R,CA_FRS,IL_CHI,2019-27,1.9892537062853215
R,CA_FRS,IL_CHI,2019-28,1.960467749601606
R,CA_FRS,IL_CHI,2019-29,1.9551390424354862
R,CA_FRS,IL_CHI,2019-30,1.9380550094908156
R,CA_FRS,IL_CHI,2019-31,1.8921612068141287
R,CA_FRS,IL_CHI,2019-32,1.8586979260644794
R,CA_FRS,IL_CHI,2019-33,1.8426772551618886
R,CA_FRS,IL_CHI,2019-34,1.8261128723406257
R,CA_FRS,IL_CHI,2019-35,1.8324727323453611
R,CA_FRS,IL_CHI,2019-36,1.8095061909939827
R,CA_FRS,IL_CHI,2019-37,1.7904161725664633
R,CA_FRS,IL_CHI,2019-38,1.7503270991438868
R,CA_FRS,IL_CHI,2019-39,1.7382516699635806
R,CA_FRS,IL_CHI,2019-40,1.7380570179582346
R,CA_FRS,IL_CHI,2019-41,1.629883973589648
R,CA_FRS,IL_CHI,2019-42,1.6274593492407428
R,CA_FRS,IL_CHI,2019-43,1.6657838737551716
R,CA_FRS,IL_CHI,2019-44,1.7079578955208088
R,CA_FRS,IL_CHI,2019-45,1.8198124460446659
R,CA_FRS,IL_CHI,2019-46,1.8557619628802033
R,CA_FRS,IL_CHI,2019-47,1.9042611054064782
R,CA_FRS,IL_CHI,2019-49,1.7473518327060336
R,CA_FRS,IL_CHI,2019-50,1.8073053151621818
R,CA_FRS,IL_CHI,2019-51,1.8111088995661542
R,CA_FRS,IL_CHI,2020-00,1.807614541109515
R,CA_FRS,IL_CHI,2020-01,1.8264841049262697
R,CA_FRS,IL_CHI,2020-02,1.7374790880030857
R,CA_FRS,IL_CHI,2020-03,1.6358036584837399
R,CA_FRS,IL_CHI,2020-04,1.6036325458074292
R,CA_FRS,IL_CHI,2020-05,1.5870808732252732
R,CA_FRS,IL_CHI,2020-06,1.4670211906596977
R,CA_FRS,IL_CHI,2020-07,1.428272450883687
R,CA_FRS,IL_CHI,2020-08,1.4338538077876022
R,CA_FRS,IL_CHI,2020-09,1.5069745640490892
R,CA_FRS,IL_CHI,2020-10,1.5740065910427237
R,CA_FRS,IL_CHI,2020-11,1.7728603949254165
R,CA_FRS,IL_CHI,2020-12,1.7468832445831364
R,CA_FRS,IL_CHI,2020-13,1.597605402268266
R,CA_FRS,IL_CHI,2020-14,1.6179727641706907
R,CA_FRS,IL_CHI,2020-15,1.6246311880969309
R,CA_FRS,IL_CHI,2020-16,1.6348021046456558
R,CA_FRS,IL_CHI,2020-17,1.754427227729509
R,CA_FRS,IL_CHI,2020-18,1.930884585526906
R,CA_FRS,IL_CHI,2020-19,1.9437682779721033
R,CA_FRS,IL_CHI,2020-20,2.138671812567858
R,CA_FRS,IL_CHI,2020-21,2.1329893688922428
R,CA_FRS,IL_CHI,2020-22,2.1243470662421293
R,CA_FRS,IL_CHI,2020-23,2.072462057714406
R,CA_FRS,IL_CHI,2020-24,2.082012768318635
R,CA_FRS,IL_CHI,2020-25,2.0780675721733317
