"","yw","PRCP","TMAX"
"1",2017 W01,0.53,59.3333333333333
"2",2017 W02,0.148571428571429,55.8571428571429
"3",2017 W03,0.345714285714286,56.7142857142857
"4",2017 W04,0.0342857142857143,58.5714285714286
"5",2017 W05,0.0557142857142857,62.5714285714286
"6",2017 W06,0.244285714285714,62.2857142857143
"7",2017 W07,0.208571428571429,60.4285714285714
"8",2017 W08,0.358571428571429,56.4285714285714
"9",2017 W09,0.104285714285714,57.8571428571429
"10",2017 W10,0.00714285714285714,61.4285714285714
"11",2017 W11,0,65
"12",2017 W12,0.234285714285714,60.1428571428571
"13",2017 W13,0.00285714285714286,61.7142857142857
"14",2017 W14,0.0657142857142857,61.1428571428571
"15",2017 W15,0.0785714285714286,63.1428571428571
"16",2017 W16,0.0328571428571429,63.8571428571429
"17",2017 W17,0,63.7142857142857
"18",2017 W18,0,63
"19",2017 W19,0,60.2857142857143
"20",2017 W20,0,61.7142857142857
"21",2017 W21,0.00142857142857143,61.4285714285714
"22",2017 W22,0.00285714285714286,62.7142857142857
"23",2017 W23,0.00714285714285714,62.8333333333333
"24",2017 W24,0,66.1428571428571
"25",2017 W25,0.00428571428571429,67.7142857142857
"26",2017 W26,0,62.7142857142857
"27",2017 W27,0,66.7142857142857
"28",2017 W28,0,66.1428571428571
"29",2017 W29,0,66
"30",2017 W30,0,65.4285714285714
"31",2017 W31,0,69.5714285714286
"32",2017 W32,0.00142857142857143,63.8571428571429
"33",2017 W33,0,66.7142857142857
"34",2017 W34,0,66.2857142857143
"35",2017 W35,0,79.3333333333333
"36",2017 W36,0.00285714285714286,73.8571428571429
"37",2017 W37,0.00714285714285714,70.8571428571429
"38",2017 W38,0,67.8571428571429
"39",2017 W39,0,71.7142857142857
"40",2017 W40,0,69.4285714285714
"41",2017 W41,0,69.5714285714286
"42",2017 W42,0.02,67
"43",2017 W43,0,75.4285714285714
"44",2017 W44,0.0214285714285714,63.4285714285714
"45",2017 W45,0.0185714285714286,64.5714285714286
"46",2017 W46,0.0442857142857143,64.4285714285714
"47",2017 W47,0.0157142857142857,71.4285714285714
"48",2017 W48,0.08,59.8571428571429
"49",2017 W49,0,67.8571428571429
"50",2017 W50,0,65.4285714285714
"51",2017 W51,0.0214285714285714,57.1428571428571
"52",2017 W52,0,63
"53",2018 W01,0.0757142857142857,62.1428571428571
"54",2018 W02,0.301428571428571,62.2857142857143
"55",2018 W03,0.0471428571428571,59.2857142857143
"56",2018 W04,0.0671428571428571,61
"57",2018 W05,0,71.4285714285714
"58",2018 W06,0,68.8571428571429
"59",2018 W07,0.00571428571428571,60.8571428571429
"60",2018 W08,0.00714285714285714,53
"61",2018 W09,0.26,55.4285714285714
"62",2018 W10,0.00857142857142857,64.1428571428571
"63",2018 W11,0.207142857142857,59
"64",2018 W12,0.238571428571429,60.7142857142857
"65",2018 W13,0,67.7142857142857
"66",2018 W14,0.194285714285714,62.4285714285714
"67",2018 W15,0.0714285714285714,64.4285714285714
"68",2018 W16,0.0671428571428571,60
"69",2018 W17,0,61.4285714285714
"70",2018 W18,0,60.1428571428571
"71",2018 W19,0,64.2857142857143
"72",2018 W20,0,61.2857142857143
"73",2018 W21,0.0157142857142857,60.4285714285714
"74",2018 W22,0,65.7142857142857
"75",2018 W23,0,63.2857142857143
"76",2018 W24,0,64.1428571428571
"77",2018 W25,0,66.5714285714286
"78",2018 W26,0,67.8571428571429
"79",2018 W27,0,68.8571428571429
"80",2018 W28,0.00285714285714286,70.2857142857143
"81",2018 W29,0,69
"82",2018 W30,0,65.1428571428571
"83",2018 W31,0,64.2857142857143
"84",2018 W32,0,67
"85",2018 W33,0.00142857142857143,66.5714285714286
"86",2018 W34,0,67.7142857142857
"87",2018 W35,0,67
"88",2018 W36,0,65
"89",2018 W37,0,66.1428571428571
"90",2018 W38,0,65.1428571428571
"91",2018 W39,0,66.7142857142857
"92",2018 W40,0.0285714285714286,71
"93",2018 W41,0,70
"94",2018 W42,0,67.5714285714286
"95",2018 W43,0,65.2857142857143
"96",2018 W44,0,68
"97",2018 W45,0,67.4285714285714
"98",2018 W46,0,65.4285714285714
"99",2018 W47,0.0957142857142857,63.7142857142857
"100",2018 W48,0.318571428571429,60.4285714285714
"101",2018 W49,0.0571428571428571,61.4285714285714
"102",2018 W50,0.101428571428571,62.4285714285714
"103",2018 W51,0.0171428571428571,61.4285714285714
"104",2018 W52,0.0757142857142857,58
"105",2019 W01,0.107142857142857,57.8571428571429
"106",2019 W02,0.0442857142857143,60.8571428571429
"107",2019 W03,0.182857142857143,63.1428571428571
"108",2019 W04,0.0142857142857143,64.4285714285714
"109",2019 W05,0.36,60.5714285714286
"110",2019 W06,0.431428571428571,53.1428571428571
"111",2019 W07,0.385714285714286,59.1428571428571
"112",2019 W08,0.00857142857142857,54.2857142857143
"113",2019 W09,0.112857142857143,61.5714285714286
"114",2019 W10,0.194285714285714,57
"115",2019 W11,0,62.4285714285714
"116",2019 W12,0.167142857142857,62.1428571428571
"117",2019 W13,0.0228571428571429,63.5714285714286
