"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-20","0.00","0.0","0.0",,"67","49",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-21","0.00","0.0","0.0",,"75","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-22","0.00","0.0","0.0",,"75","54",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-23","0.00","0.0","0.0",,"62","48",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-24","0.00","0.0","0.0",,"61","40",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-25","0.00","0.0","0.0",,"64","38",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-26","0.00","0.0",,,"66","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-27","0.37",,"0.0",,"62","47",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-02-28","0.28","0.0","0.0",,"64","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-01","0.00","0.0","0.0",,"70","42",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-02","0.00","0.0","0.0",,"78","41",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-03","0.00","0.0","0.0",,"77","51",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-04","0.00","0.0","0.0",,"78","49",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-05","0.00","0.0","0.0",,"72","55",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-06","0.00","0.0","0.0",,"65","49",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-07","0.00","0.0","0.0",,"73","43",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-08","0.00","0.0","0.0",,"83","47",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-09","0.00","0.0","0.0",,"86","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-10","0.00","0.0","0.0",,"88","52",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-11","0.00","0.0","0.0",,"87","55",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-12","0.00","0.0","0.0",,"87","56",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-13","0.00","0.0","0.0",,"90","58",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-14","0.00","0.0",,,"92","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-15","0.00","0.0","0.0",,"90","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-16","0.00","0.0","0.0",,"91","58",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-17","0.00","0.0","0.0",,"91","60",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-18","0.00","0.0","0.0",,"93","61",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-19","0.00","0.0","0.0",,"94","59",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-03-20","0.00","0.0","0.0",,"94","64",
