"","X1","yw","PRCP","TMAX","prcp","tmax","prcp_lag12","tmax_lag12","prcp_lag8","tmax_lag8","prcp_lag4","tmax_lag4","prcp_lag2","tmax_lag2"
"1",1,"2017 W01",0.53,59.3333333333333,0.53,59.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"2017 W02",0.148571428571429,55.8571428571429,0.148571428571429,55.8571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"2017 W03",0.345714285714286,56.7142857142857,0.345714285714286,56.7142857142857,NA,NA,NA,NA,NA,NA,0.247142857142857,56.2857142857143
"4",4,"2017 W04",0.0342857142857143,58.5714285714286,0.0342857142857143,58.5714285714286,NA,NA,NA,NA,NA,NA,0.19,57.6428571428571
"5",5,"2017 W05",0.0557142857142857,62.5714285714286,0.0557142857142857,62.5714285714286,NA,NA,NA,NA,0.146071428571429,58.4285714285714,0.045,60.5714285714286
"6",6,"2017 W06",0.244285714285714,62.2857142857143,0.244285714285714,62.2857142857143,NA,NA,NA,NA,0.17,60.0357142857143,0.15,62.4285714285714
"7",7,"2017 W07",0.208571428571429,60.4285714285714,0.208571428571429,60.4285714285714,NA,NA,NA,NA,0.135714285714286,60.9642857142857,0.226428571428572,61.3571428571429
"8",8,"2017 W08",0.358571428571429,56.4285714285714,0.358571428571429,56.4285714285714,NA,NA,NA,NA,0.216785714285714,60.4285714285714,0.283571428571429,58.4285714285714
"9",9,"2017 W09",0.104285714285714,57.8571428571429,0.104285714285714,57.8571428571429,NA,NA,0.1875,58.8392857142857,0.228928571428572,59.25,0.231428571428572,57.1428571428571
"10",10,"2017 W10",0.00714285714285714,61.4285714285714,0.00714285714285714,61.4285714285714,NA,NA,0.169821428571429,59.5357142857143,0.169642857142857,59.0357142857143,0.0557142857142856,59.6428571428571
"11",11,"2017 W11",0,65,0,65,NA,NA,0.126607142857143,60.5714285714286,0.1175,60.1785714285714,0.00357142857142856,63.2142857142857
"12",12,"2017 W12",0.234285714285714,60.1428571428571,0.234285714285714,60.1428571428571,NA,NA,0.151607142857143,60.7678571428571,0.0864285714285713,61.1071428571428,0.117142857142857,62.5714285714286
"13",13,"2017 W13",0.00285714285714286,61.7142857142857,0.00285714285714286,61.7142857142857,0.145357142857143,59.9166666666667,0.145,60.6607142857143,0.0610714285714284,62.0714285714286,0.118571428571428,60.9285714285714
"14",14,"2017 W14",0.0657142857142857,61.1428571428571,0.0657142857142857,61.1428571428571,0.138452380952381,60.3571428571429,0.122678571428571,60.5178571428571,0.0757142857142856,62,0.0342857142857143,61.4285714285714
"15",15,"2017 W15",0.0785714285714286,63.1428571428571,0.0785714285714286,63.1428571428571,0.116190476190476,60.8928571428571,0.106428571428571,60.8571428571428,0.0953571428571427,61.5357142857142,0.0721428571428571,62.1428571428571
"16",16,"2017 W16",0.0328571428571429,63.8571428571429,0.0328571428571429,63.8571428571429,0.116071428571429,61.3333333333333,0.0657142857142856,61.7857142857143,0.0449999999999999,62.4642857142857,0.0557142857142856,63.5
"17",17,"2017 W17",0,63.7142857142857,0,63.7142857142857,0.111428571428571,61.4285714285714,0.0526785714285714,62.5178571428571,0.0442857142857143,62.9642857142857,0.0164285714285715,63.7857142857143
"18",18,"2017 W18",0,63,0,63,0.0910714285714286,61.4880952380952,0.0517857142857142,62.7142857142857,0.0278571428571428,63.4285714285714,0,63.3571428571429
"19",19,"2017 W19",0,60.2857142857143,0,60.2857142857143,0.0736904761904762,61.4761904761905,0.0517857142857142,62.125,0.00821428571428573,62.7142857142857,0,61.6428571428571
"20",20,"2017 W20",0,61.7142857142857,0,61.7142857142857,0.0438095238095237,61.9166666666667,0.0225,62.3214285714286,0,62.1785714285714,0,61
"21",21,"2017 W21",0.00142857142857143,61.4285714285714,0.00142857142857143,61.4285714285714,0.0352380952380952,62.2142857142857,0.0223214285714286,62.2857142857143,0.000357142857142945,61.6071428571428,0.000714285714285889,61.5714285714286
"22",22,"2017 W22",0.00285714285714286,62.7142857142857,0.00285714285714286,62.7142857142857,0.0348809523809523,62.3214285714286,0.0144642857142857,62.4821428571429,0.00107142857142861,61.5357142857143,0.00214285714285722,62.0714285714286
"23",23,"2017 W23",0.00714285714285714,62.8333333333333,0.00714285714285714,62.8333333333333,0.0354761904761904,62.140873015873,0.00553571428571431,62.4434523809524,0.00285714285714289,62.172619047619,0.00499999999999989,62.7738095238095
"24",24,"2017 W24",0,66.1428571428571,0,66.1428571428571,0.0159523809523809,62.640873015873,0.00142857142857145,62.7291666666667,0.00285714285714289,63.2797619047619,0.00357142857142856,64.4880952380952
"25",25,"2017 W25",0.00428571428571429,67.7142857142857,0.00428571428571429,67.7142857142857,0.0160714285714286,63.140873015873,0.00196428571428575,63.2291666666667,0.00357142857142856,64.8511904761905,0.00214285714285722,66.9285714285714
"26",26,"2017 W26",0,62.7142857142857,0,62.7142857142857,0.0105952380952381,63.2718253968254,0.00196428571428575,63.1934523809524,0.00285714285714289,64.8511904761904,0.00214285714285722,65.2142857142857
"27",27,"2017 W27",0,66.7142857142857,0,66.7142857142857,0.00404761904761908,63.5694444444444,0.00196428571428575,63.9970238095238,0.00107142857142861,65.8214285714286,0,64.7142857142857
"28",28,"2017 W28",0,66.1428571428571,0,66.1428571428571,0.00130952380952383,63.7599206349206,0.00196428571428575,64.5505952380952,0.00107142857142861,65.8214285714286,0,66.4285714285714
"29",29,"2017 W29",0,66,0,66,0.00130952380952383,63.9503968253968,0.00178571428571428,65.1220238095238,0,65.3928571428571,0,66.0714285714286
"30",30,"2017 W30",0,65.4285714285714,0,65.4285714285714,0.00130952380952383,64.1527777777778,0.00142857142857145,65.4613095238095,0,66.0714285714286,0,65.7142857142857
"31",31,"2017 W31",0,69.5714285714286,0,69.5714285714286,0.00130952380952383,64.9265873015873,0.000535714285714306,66.3035714285714,0,66.7857142857143,0,67.5
"32",32,"2017 W32",0.00142857142857143,63.8571428571429,0.00142857142857143,63.8571428571429,0.00142857142857145,65.1051587301587,0.000714285714285723,66.0178571428571,0.000357142857142834,66.2142857142857,0.000714285714285667,66.7142857142858
"33",33,"2017 W33",0,66.7142857142857,0,66.7142857142857,0.0013095238095238,65.5456349206349,0.000178571428571417,65.8928571428571,0.000357142857142834,66.3928571428572,0.000714285714285667,65.2857142857143
"34",34,"2017 W34",0,66.2857142857143,0,66.2857142857143,0.00107142857142857,65.843253968254,0.000178571428571417,66.3392857142857,0.000357142857142834,66.6071428571429,0,66.5
"35",35,"2017 W35",0,79.3333333333333,0,79.3333333333333,0.000476190476190482,67.2182539682539,0.000178571428571417,67.9166666666666,0.000357142857142834,69.047619047619,0,72.8095238095236
"36",36,"2017 W36",0.00285714285714286,73.8571428571429,0.00285714285714286,73.8571428571429,0.000714285714285704,67.8611111111111,0.000535714285714251,68.8809523809524,0.000714285714285667,71.547619047619,0.00142857142857133,76.5952380952381
"37",37,"2017 W37",0.00714285714285714,70.8571428571429,0.00714285714285714,70.8571428571429,0.000952380952380927,68.1230158730159,0.00142857142857139,69.4880952380953,0.00249999999999995,72.5833333333334,0.00499999999999989,72.3571428571431
