"","Mode","ORegionDAT","DRegionDAT","yw","sanitized_cost","approx_cost","prcp","tmax"
"64","R","AZ_PHO","IL_CHI",2018 W12,1.71195462804268,1.71195462804268,0,82.5
"65","R","AZ_PHO","IL_CHI",2018 W13,1.7522107614985,1.7522107614985,0,82.6666666666667
"66","R","AZ_PHO","IL_CHI",2018 W14,1.9019285626063,1.9019285626063,0.0128571428571429,90.5
"67","R","AZ_PHO","IL_CHI",2018 W15,NA,1.98052564668027,0,93.4
"68","R","AZ_PHO","IL_CHI",2018 W16,NA,2.05912273075423,0,88.75
"69","R","AZ_PHO","IL_CHI",2018 W17,NA,2.13771981482819,0,97.6
"70","R","AZ_PHO","IL_CHI",2018 W18,NA,2.21631689890215,0,92.25
"71","R","AZ_PHO","IL_CHI",2018 W19,2.29491398297612,2.29491398297612,0,100.5
"72","R","AZ_PHO","IL_CHI",2018 W20,NA,2.5606445419444,0,94.7142857142857
"73","R","AZ_PHO","IL_CHI",2018 W21,2.82637510091269,2.82637510091269,0,96
"74","R","AZ_PHO","IL_CHI",2018 W22,2.57193585762675,2.57193585762675,0,101.833333333333
"75","R","AZ_PHO","IL_CHI",2018 W23,2.44981402112,2.44981402112,0,106.25
"76","R","AZ_PHO","IL_CHI",2018 W24,NA,2.29550524205481,0,105
"77","R","AZ_PHO","IL_CHI",2018 W25,NA,2.14119646298962,0,104.5
"78","R","AZ_PHO","IL_CHI",2018 W26,1.98688768392442,1.98688768392442,0,103
"79","R","AZ_PHO","IL_CHI",2018 W27,NA,1.99956674524942,0,108.333333333333
"80","R","AZ_PHO","IL_CHI",2018 W28,NA,2.01224580657442,0.17,100
"81","R","AZ_PHO","IL_CHI",2018 W29,NA,2.02492486789942,0,104.333333333333
"82","R","AZ_PHO","IL_CHI",2018 W30,NA,2.03760392922442,0.0185714285714286,113
"83","R","AZ_PHO","IL_CHI",2018 W31,NA,2.05028299054942,0,108.75
"84","R","AZ_PHO","IL_CHI",2018 W32,NA,2.06296205187442,0.335714285714286,104.6
"85","R","AZ_PHO","IL_CHI",2018 W33,NA,2.07564111319941,0.0342857142857143,102.6
"86","R","AZ_PHO","IL_CHI",2018 W34,NA,2.08832017452441,0.00285714285714286,102.571428571429
"87","R","AZ_PHO","IL_CHI",2018 W35,NA,2.10099923584941,0,104
"88","R","AZ_PHO","IL_CHI",2018 W36,NA,2.11367829717441,0,103.142857142857
"89","R","AZ_PHO","IL_CHI",2018 W37,NA,2.12635735849941,0,105.714285714286
"90","R","AZ_PHO","IL_CHI",2018 W38,NA,2.13903641982441,0.0342857142857143,102
"91","R","AZ_PHO","IL_CHI",2018 W39,NA,2.15171548114941,0,102.75
"92","R","AZ_PHO","IL_CHI",2018 W40,NA,2.16439454247441,0.441428571428571,86.8
"93","R","AZ_PHO","IL_CHI",2018 W41,NA,2.1770736037994,0.315714285714286,81.7142857142857
"94","R","AZ_PHO","IL_CHI",2018 W42,NA,2.1897526651244,0,86.6666666666667
"95","R","AZ_PHO","IL_CHI",2018 W43,NA,2.2024317264494,0.00714285714285714,87.5
"96","R","AZ_PHO","IL_CHI",2018 W44,NA,2.2151107877744,0,83.1666666666667
"97","R","AZ_PHO","IL_CHI",2018 W45,2.2277898490994,2.2277898490994,0,84
"98","R","AZ_PHO","IL_CHI",2018 W46,2.21968177103401,2.21968177103401,0,71.8
"99","R","AZ_PHO","IL_CHI",2018 W47,2.15845663853277,2.15845663853277,0,76.8333333333333
"100","R","AZ_PHO","IL_CHI",2018 W48,2.14269620516064,2.14269620516064,0.0371428571428571,72.8333333333333
"101","R","AZ_PHO","IL_CHI",2018 W49,2.14912748517748,2.14912748517748,0.00428571428571429,73
"102","R","AZ_PHO","IL_CHI",2018 W50,2.10251469649862,2.10251469649862,0,72
"103","R","AZ_PHO","IL_CHI",2018 W51,2.08419071081424,2.08419071081424,0,72.8571428571429
"104","R","AZ_PHO","IL_CHI",2018 W52,2.0984463313517,2.0984463313517,0,63.5714285714286
"105","R","AZ_PHO","IL_CHI",2019 W01,1.99856629668241,1.99856629668241,0.127142857142857,59.2
"106","R","AZ_PHO","IL_CHI",2019 W02,1.89903891037256,1.89903891037256,0.00857142857142857,70.1428571428571
"107","R","AZ_PHO","IL_CHI",2019 W03,1.79281891779877,1.79281891779877,0.0257142857142857,70.5714285714286
"108","R","AZ_PHO","IL_CHI",2019 W04,1.78434213935326,1.78434213935326,0,71.1666666666667
"109","R","AZ_PHO","IL_CHI",2019 W05,1.72855126240848,1.72855126240848,0.0485714285714286,74.5714285714286
"110","R","AZ_PHO","IL_CHI",2019 W06,1.75290563988174,1.75290563988174,0.0228571428571429,66.1666666666667
"111","R","AZ_PHO","IL_CHI",2019 W07,1.72171035819534,1.72171035819534,0.00714285714285714,69.5
"112","R","AZ_PHO","IL_CHI",2019 W08,1.67400158734645,1.67400158734645,0.268571428571429,59
"113","R","AZ_PHO","IL_CHI",2019 W09,1.65034254526415,1.65034254526415,0,76.7142857142857
"114","R","AZ_PHO","IL_CHI",2019 W10,1.66233447242838,1.66233447242838,0,77.4
"115","R","AZ_PHO","IL_CHI",2019 W11,1.64038109027901,1.64038109027901,0.06,74.8333333333333
"116","R","AZ_PHO","IL_CHI",2019 W12,1.60787098685816,1.60787098685816,0,81.1428571428571
"117","R","AZ_PHO","IL_CHI",2019 W13,1.6527811058003,1.6527811058003,0,85.5
"118","R","AZ_PHO","IL_CHI",2019 W14,1.75220390281923,1.75220390281923,0,86.5
"119","R","AZ_PHO","IL_CHI",2019 W15,NA,1.7764064709264,0,91.3333333333333
"120","R","AZ_PHO","IL_CHI",2019 W16,NA,1.80060903903357,0,90.7142857142857
"121","R","AZ_PHO","IL_CHI",2019 W17,NA,1.82481160714074,0,95.4
"122","R","AZ_PHO","IL_CHI",2019 W18,NA,1.84901417524791,0.00142857142857143,90
"123","R","AZ_PHO","IL_CHI",2019 W19,NA,1.87321674335508,0.00714285714285714,86.4
"124","R","AZ_PHO","IL_CHI",2019 W20,1.89741931146225,1.89741931146225,0,90.6666666666667
"125","R","AZ_PHO","IL_CHI",2019 W21,NA,1.97705385759769,0.0128571428571429,84.8
"126","R","AZ_PHO","IL_CHI",2019 W22,2.05668840373312,2.05668840373312,0,91
"127","R","AZ_PHO","IL_CHI",2019 W23,2.03832269408677,2.03832269408677,0,99.4285714285714
"128","R","AZ_PHO","IL_CHI",2019 W24,1.96238564978123,1.96238564978123,0,105.142857142857
"129","R","AZ_PHO","IL_CHI",2019 W25,1.88107727081649,1.88107727081649,0,102
"130","R","AZ_PHO","IL_CHI",2019 W26,1.96255823556257,1.96255823556257,0,108.333333333333
"131","R","AZ_PHO","IL_CHI",2019 W27,1.81242854401945,1.81242854401945,0,105
"132","R","AZ_PHO","IL_CHI",2019 W28,NA,1.76597716464799,0,108.5
"133","R","AZ_PHO","IL_CHI",2019 W29,NA,1.71952578527653,0,108.666666666667
"134","R","AZ_PHO","IL_CHI",2019 W30,1.67307440590507,1.67307440590507,0.0357142857142857,107.6
"135","R","AZ_PHO","IL_CHI",2019 W31,NA,1.6134805714577,0.0971428571428571,107.75
"136","R","AZ_PHO","IL_CHI",2019 W32,1.55388673701033,1.55388673701033,0.00428571428571429,104.666666666667
"137","R","AZ_PHO","IL_CHI",2019 W33,1.56477697249327,1.56477697249327,0,108
"138","R","AZ_PHO","IL_CHI",2019 W34,NA,1.65198076895323,0,105.666666666667
"139","R","AZ_PHO","IL_CHI",2019 W35,1.73918456541319,1.73918456541319,0.0485714285714286,106.5
"140","R","AZ_PHO","IL_CHI",2019 W36,NA,1.72635617530806,0,106.285714285714
"141","R","AZ_PHO","IL_CHI",2019 W37,NA,1.71352778520293,0,100
"142","R","AZ_PHO","IL_CHI",2019 W38,NA,1.7006993950978,0.00285714285714286,99.8571428571429
"143","R","AZ_PHO","IL_CHI",2019 W39,NA,1.68787100499267,0.185714285714286,91.3333333333333
"144","R","AZ_PHO","IL_CHI",2019 W40,NA,1.67504261488754,0,92.8333333333333
"145","R","AZ_PHO","IL_CHI",2019 W41,NA,1.66221422478241,0,92.6666666666667
"146","R","AZ_PHO","IL_CHI",2019 W42,NA,1.64938583467728,0,96.4285714285714
"147","R","AZ_PHO","IL_CHI",2019 W43,1.63655744457216,1.63655744457216,0,87.5
"148","R","AZ_PHO","IL_CHI",2019 W44,1.70231784129416,1.70231784129416,0,81.1666666666667
"149","R","AZ_PHO","IL_CHI",2019 W45,1.68878798657214,1.68878798657214,0,88
"150","R","AZ_PHO","IL_CHI",2019 W46,1.8395678804061,1.8395678804061,0,85
"151","R","AZ_PHO","IL_CHI",2019 W47,1.85887709562164,1.85887709562164,0.241428571428571,76.5
"152","R","AZ_PHO","IL_CHI",2019 W48,NA,1.87233572896986,0.141428571428571,67.6666666666667
"153","R","AZ_PHO","IL_CHI",2019 W49,1.88579436231807,1.88579436231807,0.0257142857142857,72
"154","R","AZ_PHO","IL_CHI",2019 W50,1.88463667266721,1.88463667266721,0.0142857142857143,70
"155","R","AZ_PHO","IL_CHI",2019 W51,2.026842016018,2.026842016018,0,69.1428571428571
"156","R","AZ_PHO","IL_CHI",2019 W52,2.10347387439652,2.10347387439652,0.105714285714286,59.6
"157","R","AZ_PHO","IL_CHI",2020 W01,1.99093558690859,1.99093558690859,0,65.4285714285714
"158","R","AZ_PHO","IL_CHI",2020 W02,1.94609180844059,1.94609180844059,0,68
"159","R","AZ_PHO","IL_CHI",2020 W03,1.85820365475862,1.85820365475862,0,71.7142857142857
"160","R","AZ_PHO","IL_CHI",2020 W04,1.79800175083198,1.79800175083198,0.0185714285714286,75
"161","R","AZ_PHO","IL_CHI",2020 W05,1.78534465351083,1.78534465351083,0,75.1666666666667
"162","R","AZ_PHO","IL_CHI",2020 W06,1.71974666859172,1.71974666859172,0,67.2857142857143
"163","R","AZ_PHO","IL_CHI",2020 W07,1.71146428006773,1.71146428006773,0.0642857142857143,72.1428571428571
"164","R","AZ_PHO","IL_CHI",2020 W08,1.71984559058413,1.71984559058413,0.137142857142857,76.7142857142857
"165","R","AZ_PHO","IL_CHI",2020 W09,1.7101202557722,1.7101202557722,0,75.4285714285714
"166","R","AZ_PHO","IL_CHI",2020 W10,1.74605886859199,1.74605886859199,0,82
"167","R","AZ_PHO","IL_CHI",2020 W11,1.75814896262598,1.75814896262598,0.318571428571429,74.6666666666667
"168","R","AZ_PHO","IL_CHI",2020 W12,1.75811942528534,1.75811942528534,0.0457142857142857,75
"169","R","AZ_PHO","IL_CHI",2020 W13,1.62408506237901,1.62408506237901,0,74.1428571428571
"170","R","AZ_PHO","IL_CHI",2020 W14,1.63454548639616,1.63454548639616,0,82.7142857142857
"171","R","AZ_PHO","IL_CHI",2020 W15,NA,1.67983925312274,0.0142857142857143,79.8
"172","R","AZ_PHO","IL_CHI",2020 W16,NA,1.72513301984933,0,82.8571428571429
"173","R","AZ_PHO","IL_CHI",2020 W17,NA,1.77042678657592,0,92.7142857142857
"174","R","AZ_PHO","IL_CHI",2020 W18,1.81572055330251,1.81572055330251,0,99.5
"175","R","AZ_PHO","IL_CHI",2020 W19,1.94462688332302,1.94462688332302,0.00285714285714286,101.333333333333
"176","R","AZ_PHO","IL_CHI",2020 W20,2.26077695712738,2.26077695712738,0,94.5
"177","R","AZ_PHO","IL_CHI",2020 W21,2.09064275773179,2.09064275773179,0,94.6
"178","R","AZ_PHO","IL_CHI",2020 W22,2.35062428513625,2.35062428513625,0,105
"179","R","AZ_PHO","IL_CHI",2020 W23,2.20553711408304,2.20553711408304,0.00142857142857143,104.833333333333
"180","R","AZ_PHO","IL_CHI",2020 W24,2.27590337086079,2.27590337086079,0,101.857142857143
"181","R","AZ_PHO","IL_CHI",2020 W25,2.20290442123903,2.20290442123903,0,104
"182","R","AZ_PHO","IL_CHI",2020 W26,2.20295890053216,2.20295890053216,0,106.857142857143
"183","R","AZ_PHO","IL_CHI",2020 W27,2.12485870953362,2.12485870953362,0,104.333333333333
"184","R","AZ_PHO","IL_CHI",2020 W28,2.10796924535447,2.10796924535447,0,109.857142857143
"185","R","AZ_PHO","IL_CHI",2020 W29,2.09420298459502,2.09420298459502,0,107.833333333333
"186","R","AZ_PHO","IL_CHI",2020 W30,1.97337374673943,1.97337374673943,0.02,105.6
"187","R","AZ_PHO","IL_CHI",2020 W31,1.8905736616821,1.8905736616821,0,111.666666666667
"188","R","AZ_PHO","IL_CHI",2020 W32,1.88058890993886,1.88058890993886,0,108.714285714286
"189","R","AZ_PHO","IL_CHI",2020 W33,1.95474310182655,1.95474310182655,0,110.857142857143
"190","R","AZ_PHO","IL_CHI",2020 W34,1.96847846083824,1.96847846083824,0.0328571428571429,110.166666666667
"191","R","AZ_PHO","IL_CHI",2020 W35,2.08371130502838,2.08371130502838,0,109.166666666667
"192","R","AZ_PHO","IL_CHI",2020 W36,1.98184700593229,1.98184700593229,0,105.571428571429
"193","R","AZ_PHO","IL_CHI",2020 W37,2.00503949860276,2.00503949860276,0,95.75
"194","R","AZ_PHO","IL_CHI",2020 W38,1.9318430459539,1.9318430459539,0,105.428571428571
"195","R","AZ_PHO","IL_CHI",2020 W39,2.06191700782585,2.06191700782585,0,103.166666666667
"196","R","AZ_PHO","IL_CHI",2020 W40,2.0292495494979,2.0292495494979,0,103.714285714286
"197","R","AZ_PHO","IL_CHI",2020 W41,2.05423917569911,2.05423917569911,0,99.8571428571429
"198","R","AZ_PHO","IL_CHI",2020 W42,2.11947741322744,2.11947741322744,0,98.2857142857143
"199","R","AZ_PHO","IL_CHI",2020 W43,2.11478818641805,2.11478818641805,0,94
"200","R","AZ_PHO","IL_CHI",2020 W44,2.31275405044322,2.31275405044322,0,82.6666666666667
"201","R","AZ_PHO","IL_CHI",2020 W45,2.36537600215024,2.36537600215024,0,96.5
"202","R","AZ_PHO","IL_CHI",2020 W46,2.67197883446697,2.67197883446697,0,74.8571428571429
"203","R","AZ_PHO","IL_CHI",2020 W47,2.59769714285746,2.59769714285746,0,89.5714285714286
"204","R","AZ_PHO","IL_CHI",2020 W48,2.41444554869237,2.41444554869237,0,73.8571428571429
"205","R","AZ_PHO","IL_CHI",2020 W49,2.54003326067237,2.54003326067237,0,72.1666666666667
"206","R","AZ_PHO","IL_CHI",2020 W50,2.43485107009679,2.43485107009679,0.0785714285714286,73.6666666666667
"207","R","AZ_PHO","IL_CHI",2020 W51,2.51081665685977,2.51081665685977,0,65.2857142857143
"208","R","AZ_PHO","IL_CHI",2020 W52,NA,2.5664059262162,0,72.1428571428571
"209","R","AZ_PHO","IL_CHI",2020 W53,2.62199519557263,2.62199519557263,0,65.5
"210","R","AZ_PHO","IL_CHI",2021 W01,2.48105386919154,2.48105386919154,0,71.5714285714286
"211","R","AZ_PHO","IL_CHI",2021 W02,2.38799258235824,2.38799258235824,0,74.4285714285714
"212","R","AZ_PHO","IL_CHI",2021 W03,2.25116895612055,2.25116895612055,0.02,76.25
"213","R","AZ_PHO","IL_CHI",2021 W04,2.22370304243875,2.22370304243875,0.0785714285714286,65
"214","R","AZ_PHO","IL_CHI",2021 W05,2.25371078063706,2.25371078063706,0,77.5
"215","R","AZ_PHO","IL_CHI",2021 W06,2.29479217071548,2.29479217071548,0,75.6666666666667
"216","R","AZ_PHO","IL_CHI",2021 W07,2.5732454580998,2.5732454580998,0,70.6666666666667
"217","R","AZ_PHO","IL_CHI",2021 W08,2.78135134515618,2.78135134515618,0,76.8
"218","R","AZ_PHO","IL_CHI",2021 W09,2.80986772478613,2.80986772478613,0,82.8333333333333
"219","R","AZ_PHO","IL_CHI",2021 W10,2.8471618181962,2.8471618181962,0.0828571428571429,71.75
"220","R","AZ_PHO","IL_CHI",2021 W11,2.81431991351905,2.81431991351905,0,80.2
"221","R","AZ_PHO","IL_CHI",2021 W12,2.83733406847831,2.83733406847831,0.00142857142857143,77.4
"222","R","AZ_PHO","IL_CHI",2021 W13,2.90094822343758,2.90094822343758,0,93.4285714285714
"223","R","AZ_PHO","IL_CHI",2021 W14,2.76736237839684,2.76736237839684,0,93
"224","R","AZ_PHO","IL_CHI",2021 W15,2.8657765333561,2.8657765333561,0,87.4
"225","R","AZ_PHO","IL_CHI",2021 W16,2.85399068831536,2.85399068831536,0,90.5
"226","R","AZ_PHO","IL_CHI",2021 W17,2.95240484327462,2.95240484327462,0.006,87
"227","R","AZ_PHO","IL_CHI",2021 W18,NA,2.93675233156722,0,95.5
"228","R","AZ_PHO","IL_CHI",2021 W19,NA,2.92109981985981,0,97.3333333333333
"229","R","AZ_PHO","IL_CHI",2021 W20,2.90544730815241,2.90544730815241,0,94.2
"230","R","AZ_PHO","IL_CHI",2021 W21,NA,2.95456146311167,0,98
"231","R","AZ_PHO","IL_CHI",2021 W22,3.00367561807093,3.00367561807093,0,103.5
"232","R","AZ_PHO","IL_CHI",2021 W23,3.10208977303019,3.10208977303019,NA,NA
"233","R","AZ_PHO","IL_CHI",2021 W24,3.09610392798945,3.09610392798945,NA,NA
"234","R","AZ_PHO","IL_CHI",2021 W25,3.02051808294872,3.02051808294872,NA,NA
"235","R","AZ_PHO","IL_CHI",2021 W26,2.89853223790798,2.89853223790798,0,106
"236","R","AZ_PHO","IL_CHI",2021 W27,2.86354639286724,2.86354639286724,NA,NA
"237","R","AZ_PHO","IL_CHI",2021 W28,2.82404322890666,2.82404322890666,NA,NA
